Product_ID;Product_Category_1;Product_Category_2;Product_Category_3
P00069042;3;;
P00248942;1;6.0;14.0
P00087842;12;;
P00085442;12;14.0;
P00285442;8;;
P00193542;1;2.0;
P00184942;1;8.0;17.0
P00346142;1;15.0;
P0097242;1;16.0;
P00274942;8;;
P00251242;5;11.0;
P00014542;8;;
P00031342;8;;
P00145042;1;2.0;5.0
P00231342;5;8.0;14.0
P00190242;4;5.0;
P0096642;2;3.0;4.0
P00058442;5;14.0;
P00036842;1;14.0;16.0
P00249542;1;5.0;15.0
P00220442;5;14.0;
P00156442;8;;
P00213742;8;;
P00214442;8;;
P00303442;1;8.0;14.0
P00135742;6;8.0;
P00039942;8;;
P00161442;5;14.0;
P00078742;5;8.0;14.0
P00085942;2;4.0;8.0
P00118742;5;11.0;
P00297942;8;;
P00266842;5;;
P00058342;3;4.0;
P00032442;5;;
P00105942;5;;
P00182642;2;4.0;9.0
P00186942;5;12.0;
P00155442;1;11.0;15.0
P00221342;1;2.0;5.0
P00087242;14;;
P00111142;1;15.0;16.0
P00259342;5;9.0;
P0094542;2;4.0;9.0
P00148642;6;10.0;13.0
P00312142;8;;
P00113242;1;6.0;8.0
P00192642;8;17.0;
P00110842;1;2.0;5.0
P00189642;8;13.0;
P00304242;1;6.0;
P00365242;5;8.0;
P00129542;8;14.0;
P00140742;1;15.0;
P00182342;1;5.0;6.0
P00276642;8;11.0;
P00334242;1;8.0;
P00247542;8;16.0;
P00338442;1;16.0;
P00275142;5;8.0;
P00333042;5;8.0;
P00166242;8;;
P00161942;5;8.0;
P00348242;8;;
P00042142;1;2.0;6.0
P00244242;1;2.0;15.0
P00217742;5;14.0;
P00019342;1;6.0;15.0
P00100642;5;15.0;
P00073842;1;15.0;17.0
P00366542;5;;
P00190742;3;4.0;9.0
P00151842;4;8.0;9.0
P00112642;1;2.0;5.0
P00118442;1;2.0;
P00034442;1;14.0;16.0
P00222242;1;2.0;13.0
P00118342;2;3.0;15.0
P00324742;2;9.0;14.0
P00190042;3;4.0;5.0
P0094142;4;5.0;
P00138542;5;6.0;
P00158542;5;6.0;13.0
P00157542;8;14.0;
P00044142;8;16.0;
P00112542;1;11.0;15.0
P00339542;1;;
P00127842;1;2.0;15.0
P00125942;1;2.0;15.0
P00251342;5;11.0;
P00249642;3;5.0;
P00124842;11;;
P00250642;11;;
P00058142;3;4.0;12.0
P00117442;5;14.0;
P00251642;1;2.0;4.0
P00244842;11;;
P00220242;3;12.0;
P00351142;1;8.0;17.0
P00213242;5;8.0;
P00195942;3;4.0;
P00115642;8;14.0;
P0098242;1;16.0;
P00262242;1;11.0;16.0
P00258742;5;;
P00218242;5;8.0;
P00021742;5;;
P00313042;5;14.0;
P00133742;5;14.0;
P00077042;5;;
P00280542;11;;
P00225842;2;4.0;15.0
P00278942;1;2.0;3.0
P00004742;6;16.0;
P00198042;11;16.0;
P00177442;1;6.0;8.0
P00000642;1;6.0;16.0
P00288942;1;2.0;5.0
P00270942;1;2.0;15.0
P00345842;2;8.0;14.0
P00032042;1;2.0;15.0
P00112342;13;16.0;
P00031842;1;5.0;12.0
P00346642;8;;
P00205642;5;8.0;
P00206442;1;5.0;9.0
P00046742;1;2.0;15.0
P00120042;1;2.0;
P00043242;5;;
P00057242;5;;
P00022842;5;;
P00252042;5;14.0;
P00042242;5;15.0;
P00059542;2;4.0;
P00021242;8;16.0;
P00023042;5;14.0;
P00144242;5;14.0;
P00101342;6;8.0;
P00289342;5;8.0;14.0
P00281742;5;8.0;18.0
P00266642;1;8.0;9.0
P00323742;8;;
P00116342;2;;
P00117142;2;17.0;
P00084442;13;16.0;
P00331542;5;8.0;
P00178942;5;8.0;
P00026042;8;14.0;17.0
P00233542;1;15.0;
P00127242;1;16.0;
P00349942;1;5.0;
P00303342;1;16.0;
P00051442;8;17.0;
P00275642;8;;
P00278642;5;;
P00322042;5;8.0;
P00216342;3;4.0;5.0
P00329342;5;;
P00332342;5;8.0;
P00111742;15;;
P00293742;8;;
P00032842;8;;
P00216142;1;16.0;
P00001642;8;16.0;
P00351842;5;;
P00145442;8;15.0;
P00344242;8;10.0;
P00327242;5;8.0;
P00241142;8;;
P00219242;4;5.0;
P00057342;4;5.0;
P00165742;8;16.0;
P00154642;8;;
P00192942;5;;
P00247042;5;14.0;
P00150542;5;;
P00347142;5;;
P00326742;11;;
P00330442;5;14.0;
P00327842;8;16.0;
P00218342;5;;
P00259042;5;;
P00102542;8;;
P00121142;8;;
P00228242;8;;
P00309542;5;14.0;
P00106742;3;5.0;
P00102642;4;8.0;9.0
P00127442;1;2.0;15.0
P00345642;1;15.0;16.0
P00357842;5;;
P00115342;5;8.0;14.0
P00174442;5;;
P00282642;5;;
P00037142;1;2.0;5.0
P00192042;5;9.0;14.0
P00197542;5;;
P00048742;5;;
P00110142;7;;
P00120842;8;17.0;
P00267742;5;;
P00086442;8;13.0;15.0
P00331842;16;;
P00288642;16;;
P00318742;1;8.0;
P00028442;1;8.0;16.0
P00208342;1;16.0;
P00277442;1;6.0;15.0
P00085242;8;14.0;17.0
P00279442;16;;
P00235242;8;;
P00251542;11;16.0;
P00003242;8;15.0;
P00221542;5;15.0;
P00142142;1;2.0;15.0
P00044442;1;16.0;
P00147742;1;16.0;
P00030942;4;5.0;9.0
P00288042;8;;
P00313142;8;;
P00195442;5;;
P00255842;16;;
P00112142;1;2.0;14.0
P00120342;5;17.0;
P00110542;8;;
P00279942;8;;
P00303742;8;;
P00316742;4;5.0;
P00115242;5;8.0;
P00302842;8;13.0;
P00066442;5;14.0;
P00273442;12;14.0;17.0
P00210142;14;;
P00212542;8;14.0;
P00321742;5;8.0;17.0
P00020042;5;8.0;
P00051942;5;6.0;11.0
P00303542;5;;
P00228142;5;;
P00123142;11;;
P00079542;5;8.0;
P00103142;1;;
P00305542;11;;
P00031042;8;;
P00260042;5;8.0;
P00055642;4;5.0;
P00312742;15;;
P00010742;1;8.0;17.0
P00223242;5;14.0;
P00114942;1;15.0;16.0
P00183242;5;15.0;
P00030842;1;2.0;15.0
P00220142;1;15.0;
P00130442;3;5.0;
P00323042;5;;
P00344742;5;;
P00182442;5;11.0;
P00015342;2;4.0;
P00103042;1;14.0;
P00187842;1;16.0;
P00162442;1;16.0;
P00078542;1;2.0;16.0
P00324442;11;13.0;16.0
P00041642;5;;
P00050542;5;;
P00006442;5;;
P00350942;3;4.0;5.0
P00000142;3;4.0;5.0
P00034042;1;2.0;16.0
P00143142;8;14.0;
P00317942;8;16.0;
P00335542;8;;
P00361842;15;16.0;
P00147942;1;16.0;
P00028042;1;16.0;
P00117542;18;;
P00130742;1;14.0;17.0
P00024142;8;9.0;14.0
P00209742;1;11.0;15.0
P00160042;1;13.0;16.0
P00042342;8;16.0;
P00016542;1;6.0;16.0
P00016742;1;15.0;16.0
P00227642;1;5.0;14.0
P00146142;1;2.0;15.0
P00070542;3;15.0;
P00129842;6;8.0;15.0
P00243942;1;2.0;15.0
P00246742;11;15.0;
P00310142;5;15.0;
P00244142;1;2.0;15.0
P00190142;3;4.0;5.0
P00109242;6;8.0;10.0
P00089342;8;;
P00288542;8;;
P00212242;8;;
P00319342;5;8.0;
P00302942;8;;
P00145942;6;8.0;13.0
P00026342;8;;
P00148842;6;8.0;16.0
P00299842;8;;
P00313342;5;;
P00102442;8;;
P00237542;1;15.0;16.0
P0099342;5;8.0;
P00171542;2;5.0;14.0
P00350342;1;6.0;
P00110742;1;2.0;8.0
P00117642;10;16.0;
P00114142;8;;
P00119142;3;4.0;12.0
P00280742;6;8.0;
P00271142;5;;
P00003942;5;14.0;
P00151742;8;15.0;16.0
P00050642;15;16.0;
P00114742;8;;
P00113942;8;;
P00120942;8;;
P00083842;5;14.0;
P00317842;8;;
P00030642;8;;
P00273642;8;14.0;
P00002542;8;14.0;
P00331642;12;;
P00331242;12;17.0;
P0096442;4;5.0;12.0
P00050242;8;;
P00131942;7;;
P00132042;13;16.0;
P00013742;5;;
P00119342;10;13.0;
P00182142;1;5.0;6.0
P00188942;8;;
P00203142;16;;
P00320442;6;10.0;
P00121642;5;14.0;
P00289542;8;;
P00329742;6;16.0;
P00326642;8;;
P00336142;5;12.0;
P00111442;8;;
P00234742;8;;
P00090842;11;15.0;
P00214542;8;;
P00110942;1;2.0;
P00289942;3;4.0;5.0
P00104842;8;;
P00113142;1;5.0;12.0
P00177942;5;8.0;
P00265242;5;8.0;
P00118142;8;17.0;
P00003642;8;;
P00178342;8;;
P00289742;8;;
P00085042;5;6.0;
P00041542;8;;
P00249142;5;;
P00284042;8;17.0;
P00165442;1;15.0;16.0
P00115942;8;17.0;
P00074442;1;16.0;
P00047242;1;5.0;
P00199042;1;5.0;
P00192542;1;2.0;9.0
P00350042;6;8.0;
P00248442;3;4.0;
P00172842;3;4.0;
P00198142;2;4.0;9.0
P00282142;3;4.0;
P00166942;2;4.0;5.0
P00187742;2;4.0;
P00003442;4;5.0;8.0
P00060242;3;4.0;
P00137642;3;4.0;12.0
P00126142;8;16.0;
P00219842;5;;
P00046142;1;16.0;
P00328142;8;16.0;
P00255542;5;;
P00250842;8;;
P00260142;5;14.0;
P0097142;12;;
P00209842;5;8.0;
P00212942;5;;
P00283942;5;;
P00303242;5;8.0;
P00170442;5;;
P00045842;5;14.0;
P00040442;5;14.0;
P00195842;3;4.0;8.0
P00293242;8;16.0;
P00064042;3;4.0;12.0
P00015542;1;2.0;13.0
P00105142;1;2.0;15.0
P00183442;1;2.0;
P00199442;5;9.0;
P00054542;1;2.0;3.0
P00034742;5;14.0;17.0
P00163142;6;8.0;
P00027142;8;;
P00053942;1;2.0;5.0
P00173342;1;6.0;14.0
P00233342;1;15.0;16.0
P00010842;8;16.0;
P00120242;8;;
P00223942;5;8.0;
P00362342;5;;
P00027542;8;;
P00234842;5;6.0;16.0
P00029242;8;;
P0097842;5;;
P00160942;1;16.0;
P00136542;5;8.0;
P00127942;1;2.0;5.0
P00248542;8;16.0;
P00145842;4;5.0;
P00214342;5;;
P00161542;2;15.0;16.0
P00001942;5;;
P00328042;8;14.0;
P00370242;5;;
P00340642;5;;
P00358242;8;;
P0096542;3;4.0;12.0
P0096942;3;4.0;
P00074142;3;4.0;12.0
P00270042;8;14.0;
P00223842;2;4.0;8.0
P00014842;1;2.0;5.0
P00274342;2;8.0;14.0
P00208742;1;6.0;16.0
P00304442;1;16.0;
P00014042;1;;
P00133442;1;16.0;
P00159842;1;16.0;
P00019942;1;;
P00117042;1;2.0;5.0
P00141942;5;8.0;14.0
P00117942;5;15.0;
P00001742;8;14.0;
P00315442;1;;
P00297642;8;;
P00088542;5;12.0;14.0
P00089042;13;;
P00175742;8;17.0;
P00035542;3;4.0;12.0
P00057942;1;2.0;6.0
P00059442;6;8.0;16.0
P00278042;1;;
P00154042;1;2.0;15.0
P00337942;5;;
P00229342;5;14.0;
P00274242;1;;
P00084642;13;16.0;
P00071242;1;15.0;16.0
P00050442;1;8.0;13.0
P0097342;1;15.0;16.0
P00269542;11;15.0;
P00045542;5;14.0;
P00139742;8;16.0;
P00332242;1;16.0;
P00205442;5;8.0;14.0
P00085542;5;14.0;
P00183142;15;;
P00298242;8;;
P00300942;16;;
P00013942;5;;
P00087042;10;14.0;16.0
P00087342;5;14.0;16.0
P00195642;5;;
P00035842;5;6.0;9.0
P00147342;15;16.0;
P00176842;12;14.0;
P00275842;2;9.0;15.0
P00351342;1;2.0;16.0
P00184142;8;14.0;
P00317342;8;16.0;
P00217242;1;15.0;
P00335442;1;15.0;
P0098342;1;2.0;
P00079742;1;2.0;15.0
P00143642;1;2.0;6.0
P00232342;11;;
P00179042;11;;
P00180942;11;;
P00265742;5;12.0;
P00194542;8;14.0;
P00127642;1;2.0;15.0
P00355142;1;15.0;
P00144642;1;15.0;16.0
P00201342;1;2.0;9.0
P00251942;1;2.0;5.0
P00009342;1;16.0;
P00191442;1;2.0;15.0
P00330642;5;;
P00238542;5;14.0;
P0094942;4;8.0;
P00068042;3;4.0;
P00005042;6;16.0;
P00102042;5;;
P00059742;1;11.0;15.0
P00248142;5;;
P00279342;5;14.0;
P00267542;1;16.0;
P00163342;6;8.0;
P00116842;2;5.0;8.0
P00348742;16;;
P00061142;8;16.0;
P00015942;6;10.0;13.0
P00346542;10;13.0;16.0
P00188742;8;14.0;17.0
P00346942;1;5.0;
P00007042;1;;
P00240242;1;15.0;16.0
P00291042;8;;
P00244642;11;;
P00090542;16;;
P00274142;1;;
P00270542;1;6.0;8.0
P00057442;5;14.0;16.0
P00078142;8;16.0;
P00245642;5;11.0;12.0
P00037542;1;;
P00049842;1;8.0;
P00022942;5;8.0;
P00350442;2;3.0;15.0
P00119542;8;14.0;
P00025442;1;2.0;9.0
P00080342;1;6.0;8.0
P00338542;1;;
P00246142;1;15.0;17.0
P00317642;1;2.0;17.0
P00170642;5;8.0;
P00115442;8;;
P00212742;5;;
P00150742;8;14.0;
P00109342;5;;
P00162642;5;8.0;
P00017042;8;;
P00100842;5;;
P00329442;5;8.0;
P00303842;5;8.0;14.0
P00250242;5;;
P00012542;5;14.0;
P00152442;8;;
P00248342;8;13.0;
P00218642;5;;
P00241542;1;6.0;
P00346442;1;2.0;14.0
P00295942;2;5.0;15.0
P00270142;5;;
P0099042;5;12.0;14.0
P00367142;11;;
P00118842;5;8.0;
P00034842;5;14.0;
P00001142;5;8.0;14.0
P00008842;1;16.0;
P00222142;5;13.0;
P00189842;3;4.0;5.0
P00198742;1;2.0;11.0
P00004242;1;6.0;8.0
P00173942;1;5.0;6.0
P00124642;16;;
P00081142;6;8.0;14.0
P00329542;1;15.0;16.0
P00020142;7;;
P00121342;1;5.0;18.0
P00159542;10;15.0;16.0
P00115142;1;8.0;17.0
P00227542;13;;
P00241642;1;2.0;11.0
P00226742;11;;
P00062842;1;2.0;13.0
P00028842;6;8.0;
P00284642;5;8.0;
P00250342;16;;
P00214142;8;;
P00188542;5;8.0;14.0
P00088242;6;10.0;13.0
P00121042;15;;
P00116742;11;;
P00289642;8;;
P00227742;5;14.0;
P00127542;1;2.0;15.0
P00323942;8;15.0;
P00101142;8;;
P00129642;5;;
P00178642;5;15.0;
P00288442;5;14.0;
P00274042;1;;
P00091842;8;;
P00016042;1;16.0;
P00214242;1;16.0;
P00008542;2;8.0;
P00352142;1;6.0;16.0
P00150942;6;11.0;13.0
P00317442;1;8.0;
P00063342;1;2.0;9.0
P00114542;5;;
P00156742;5;6.0;8.0
P00119242;18;;
P00193042;5;6.0;16.0
P00036542;4;5.0;
P00181842;11;;
P00304742;8;;
P00163842;8;;
P00028242;6;8.0;
P00028542;6;8.0;14.0
P00184442;1;6.0;8.0
P00137542;1;8.0;16.0
P00150342;8;14.0;
P00369742;5;;
P00277942;1;;
P00207042;5;14.0;
P00294542;8;;
P00033642;5;8.0;
P00086042;8;14.0;17.0
P00057742;2;8.0;18.0
P00101942;8;17.0;
P00113342;1;8.0;17.0
P00052642;5;14.0;
P00021642;8;14.0;
P00007342;8;14.0;
P00154742;8;14.0;16.0
P00016342;1;2.0;8.0
P00141842;5;14.0;
P00197442;8;14.0;
P00048642;5;14.0;
P00358742;5;;
P00370342;8;;
P00031442;5;8.0;
P00128242;5;12.0;14.0
P00211142;5;;
P00152742;5;;
P00211042;5;;
P00148342;5;;
P00134342;5;;
P00159942;5;;
P00031642;5;;
P00307342;8;;
P00022542;5;;
P00323842;2;8.0;
P00252442;8;;
P00304842;8;;
P00240142;5;;
P00140042;1;16.0;
P00289042;8;;
P00141442;8;14.0;
P00345742;1;2.0;15.0
P00065342;2;15.0;
P00298142;5;8.0;
P00111542;2;17.0;
P00347242;8;;
P00277642;2;3.0;10.0
P00024042;7;;
P00064942;8;;
P00112442;6;8.0;
P00312942;8;14.0;
P00125742;8;;
P00285742;8;;
P00004842;3;4.0;12.0
P00010242;5;;
P00014742;11;;
P00079442;8;;
P00208942;6;;
P00322342;5;14.0;
P00309142;1;16.0;
P00305142;1;;
P00128042;1;5.0;18.0
P00229742;1;16.0;
P00194642;1;6.0;13.0
P00149542;1;6.0;13.0
P00138242;1;;
P00035242;8;14.0;
P00135842;5;14.0;
P00035742;11;;
P00019142;11;15.0;
P00188442;5;7.0;
P00346342;1;15.0;
P00111042;15;;
P00238442;6;;
P00270242;8;;
P00197342;1;2.0;
P00318142;2;;
P00049642;8;14.0;
P00303642;8;14.0;
P00071442;15;17.0;
P00226442;11;15.0;
P0098542;8;;
P00231142;5;8.0;
P00031542;5;;
P00053842;4;5.0;12.0
P00176042;8;17.0;
P00116142;10;13.0;16.0
P00089442;8;;
P00128942;1;11.0;
P00139942;5;;
P00194442;5;;
P00178442;5;;
P00119742;5;8.0;12.0
P00279642;7;;
P00048142;1;16.0;
P00042942;1;15.0;
P00241242;1;11.0;15.0
P00250542;4;5.0;
P00100442;2;4.0;5.0
P00279142;7;;
P00256542;6;13.0;
P00272042;8;14.0;
P00057642;1;15.0;16.0
P00348542;1;16.0;
P00310242;7;;
P00350542;8;17.0;
P00318942;8;16.0;
P00150142;8;;
P00062742;8;17.0;
P00367042;8;;
P00070042;1;2.0;16.0
P00211942;8;;
P00252842;8;;
P00341342;1;8.0;17.0
P00117342;1;8.0;13.0
P00044342;8;;
P00090942;1;2.0;14.0
P00302742;8;;
P00286842;5;8.0;
P00102342;8;14.0;17.0
P00104542;8;;
P00360042;8;;
P00307642;5;6.0;
P00052842;10;15.0;
P00057542;3;4.0;5.0
P00282842;5;;
P00281542;5;;
P00367542;5;;
P00253042;8;;
P00221942;1;8.0;
P00288342;8;;
P00115542;8;;
P00321942;5;;
P00100142;10;16.0;
P00313542;5;8.0;
P00120142;5;;
P00129742;5;8.0;
P00182742;1;2.0;14.0
P00020342;1;2.0;
P00158142;8;;
P00002142;1;5.0;8.0
P00247742;8;;
P00092642;5;8.0;
P00051142;8;;
P00005642;8;;
P00102242;8;12.0;
P00283242;5;8.0;
P00017742;8;14.0;
P00247642;7;;
P0009942;5;;
P00155742;8;;
P00023642;8;12.0;
P00307542;1;15.0;
P00125342;11;;
P00367242;11;;
P0095142;2;4.0;
P00023142;5;14.0;
P00127342;1;2.0;15.0
P00153742;8;;
P00117742;8;;
P00143342;1;14.0;16.0
P00277542;1;6.0;15.0
P00324942;5;;
P00092242;5;8.0;
P00355942;8;13.0;
P00013342;7;;
P00089542;5;;
P00107642;5;;
P00267142;8;12.0;
P00021842;5;8.0;14.0
P00182242;1;5.0;6.0
P00050342;5;8.0;17.0
P0099742;3;4.0;5.0
P00212342;8;;
P00153642;8;;
P00244042;1;2.0;15.0
P00049442;1;8.0;
P00068942;5;;
P00029842;8;;
P00089242;2;5.0;
P00322742;8;11.0;
P00168742;1;5.0;
P00136442;14;;
P00256642;5;;
P00158242;6;8.0;
P00357942;8;14.0;
P00042842;5;;
P00330042;5;;
P00038342;2;4.0;
P00287542;8;;
P00196142;3;4.0;5.0
P00187442;2;4.0;5.0
P00303142;5;;
P00277842;1;;
P0095342;2;4.0;
P00048442;5;14.0;
P00128342;5;12.0;14.0
P00021342;5;8.0;
P00226142;8;9.0;
P00164342;5;8.0;
P00041142;8;;
P00222942;1;2.0;8.0
P00041042;1;16.0;
P00354342;5;11.0;
P00223642;11;15.0;
P00179642;11;;
P00093642;6;;
P00272242;8;;
P00075742;8;14.0;
P00224142;8;;
P00027642;8;;
P00265542;5;8.0;
P00041742;8;;
P00053542;1;;
P00227842;2;5.0;
P00137242;5;;
P00207242;5;;
P00328342;5;;
P00055142;5;;
P00297042;8;;
P00289242;1;8.0;
P00230842;8;;
P00193242;6;8.0;
P00326842;5;8.0;
P00050742;5;;
P00266542;2;16.0;
P00352842;2;6.0;15.0
P00242742;1;2.0;9.0
P00015642;8;16.0;17.0
P00114042;5;14.0;
P00357242;5;;
P00118542;5;8.0;
P00313442;5;6.0;8.0
P00285842;5;;
P00161142;11;;
P00200642;10;16.0;
P00343042;5;18.0;
P00326242;2;18.0;
P00196742;8;;
P00129342;1;5.0;15.0
P00025542;8;;
P00128742;1;;
P00087442;5;;
P00335242;5;8.0;
P00161242;1;5.0;12.0
P00033342;5;14.0;
P00101242;5;12.0;
P00205242;5;;
P00302042;5;;
P00362442;5;;
P00206642;5;;
P00045342;1;5.0;17.0
P00214742;5;14.0;
P00344842;5;;
P00119642;1;2.0;8.0
P00362542;8;;
P00246942;17;;
P00191742;4;11.0;
P00303042;5;;
P00281942;15;;
P00295242;8;;
P00295842;5;8.0;
P00178042;8;14.0;
P00114342;1;8.0;17.0
P00249042;7;;
P00136342;4;5.0;
P00331942;5;;
P00218842;5;;
P00102942;1;14.0;
P00058042;8;16.0;
P00022642;5;8.0;
P00268442;8;17.0;
P00114642;5;8.0;
P00255742;3;4.0;
P00106942;8;;
P00111842;8;;
P00304142;5;11.0;
P00249842;8;;
P00323442;5;9.0;
P00129442;5;8.0;
P00021042;8;14.0;
P00363742;5;;
P00225042;8;;
P00002642;8;;
P00234542;5;;
P00173842;1;2.0;15.0
P00205942;5;8.0;14.0
P00327342;16;;
P00089142;5;;
P00024742;8;11.0;
P00053642;7;;
P00101842;6;16.0;
P00011342;6;;
P00002942;2;15.0;
P00258442;5;;
P00246342;11;15.0;
P00331342;8;16.0;
P00360742;5;;
P00120442;8;;
P00196042;4;9.0;15.0
P00276142;12;;
P00176942;5;;
P00216542;8;;
P00295542;8;;
P00091142;8;;
P00026542;8;;
P00242042;8;14.0;
P00184342;8;;
P00049542;8;;
P00155642;8;;
P00347342;8;;
P00007142;5;8.0;
P00221442;1;2.0;5.0
P00167942;1;5.0;
P00201442;1;6.0;8.0
P00014642;8;14.0;17.0
P00285642;2;5.0;15.0
P00246042;15;;
P00204342;15;16.0;
P00025042;5;15.0;
P00066542;1;15.0;16.0
P00177342;8;;
P00322942;2;8.0;16.0
P00266042;8;;
P00177642;8;;
P00281642;1;8.0;
P00282442;5;8.0;18.0
P00042742;5;14.0;
P00001242;5;11.0;
P00339942;1;;
P00029542;1;2.0;18.0
P00244342;11;;
P00280642;11;;
P00244442;11;;
P00105442;11;;
P00194142;11;16.0;
P00313942;17;;
P00084342;13;16.0;
P00198642;8;14.0;
P00115842;16;;
P00128142;1;5.0;18.0
P00021142;5;;
P00043542;8;;
P00102842;8;;
P00041842;6;8.0;
P00242642;7;8.0;
P00231942;11;;
P00174142;3;4.0;9.0
P00260442;1;15.0;
P00016842;1;2.0;15.0
P00255942;1;16.0;
P00268342;5;;
P00223542;1;8.0;17.0
P00122442;1;11.0;15.0
P00298942;1;5.0;
P00042542;1;5.0;
P00078842;1;16.0;
P00084842;8;16.0;
P00216742;5;;
P00006142;8;;
P00233442;1;2.0;15.0
P00024342;8;14.0;
P00024242;5;;
P00093342;1;8.0;18.0
P00333642;11;15.0;
P00364442;1;2.0;9.0
P00346042;6;8.0;15.0
P00282242;5;8.0;17.0
P00180342;11;;
P00113642;8;;
P00001042;1;2.0;16.0
P00083942;12;14.0;
P00117842;5;13.0;16.0
P00148042;8;;
P00053042;5;14.0;16.0
P00004642;8;14.0;
P00158042;8;;
P00259142;5;;
P00282042;5;15.0;
P00047942;5;13.0;
P00131542;8;12.0;
P00264242;8;;
P00343442;12;;
P00254642;5;8.0;
P00320842;1;4.0;9.0
P00074242;5;;
P00018142;5;;
P00229942;5;;
P00355642;16;;
P00142942;1;2.0;16.0
P00035342;2;4.0;14.0
P00017542;5;;
P00217942;5;;
P00072542;5;6.0;
P00178242;8;;
P00352642;1;17.0;
P00145642;1;8.0;17.0
P00100942;5;;
P00105042;5;9.0;
P00305042;11;13.0;16.0
P00181542;11;16.0;
P00014942;8;;
P00125142;11;;
P00368242;5;11.0;
P00243542;11;;
P00342042;11;15.0;16.0
P00179242;11;;
P00129142;1;11.0;
P00359242;1;5.0;17.0
P00308342;5;8.0;
P00216042;5;8.0;
P00220342;5;;
P00171342;13;16.0;
P0095842;3;4.0;12.0
P00256042;6;8.0;16.0
P00124242;11;14.0;
P00236542;8;11.0;
P00353542;5;11.0;
P00319242;8;;
P00311942;2;4.0;
P00197142;5;;
P00065242;2;3.0;4.0
P00194342;3;4.0;
P00180142;11;;
P00168342;11;15.0;
P00265342;7;;
P00319042;5;;
P00093242;8;;
P00051642;8;;
P00293342;8;;
P00153842;8;14.0;16.0
P00130842;5;14.0;
P00155842;8;;
P00211242;8;12.0;
P00221042;1;17.0;
P00008142;8;;
P00079942;8;;
P00320942;1;4.0;9.0
P00319442;8;;
P00235142;5;;
P00280442;11;;
P00173242;5;;
P0095542;2;4.0;9.0
P00265142;3;12.0;
P00074342;5;;
P00135342;5;;
P00316642;4;5.0;
P00264642;8;;
P00157642;1;14.0;16.0
P00070342;1;2.0;14.0
P00073642;8;;
P00268542;5;;
P00136742;1;14.0;16.0
P00001542;1;2.0;14.0
P00154242;8;;
P00050142;5;;
P00130642;11;16.0;
P00024642;5;14.0;
P00329942;5;8.0;14.0
P00192742;11;16.0;
P00138842;5;;
P00185842;4;5.0;15.0
P00115042;5;11.0;
P00120642;5;;
P00005742;8;14.0;
P00048042;1;6.0;8.0
P00273342;10;;
P00180042;11;;
P00365342;1;5.0;
P00146742;1;13.0;14.0
P00335742;5;;
P00114842;5;;
P00366442;8;12.0;
P00348942;8;13.0;
P00270842;5;;
P00339342;1;;
P00358442;1;15.0;
P00031142;16;;
P00118042;8;;
P00331142;5;;
P00156542;4;5.0;
P00033442;4;;
P00154442;8;14.0;
P00274642;4;5.0;
P00313242;8;;
P00279542;8;;
P00203742;13;16.0;
P00354442;5;;
P00178142;8;17.0;
P00092142;8;;
P00318342;14;;
P00210942;5;12.0;
P00215442;15;16.0;
P00309242;5;8.0;
P00109942;8;;
P00208042;8;;
P00029742;5;;
P00240442;6;16.0;
P00304642;2;14.0;15.0
P00067942;5;14.0;
P00361942;1;2.0;15.0
P00083242;11;16.0;
P00366942;8;;
P00149142;11;;
P00214642;11;13.0;16.0
P00181942;11;;
P00296042;8;13.0;16.0
P00189042;8;;
P00134942;5;14.0;
P00359042;2;8.0;14.0
P00088842;8;;
P00159442;5;8.0;
P00341242;7;;
P00122542;11;;
P00295342;2;8.0;
P00323642;8;;
P00101542;13;16.0;
P00307942;6;8.0;
P00297542;8;;
P00287642;8;17.0;
P00115742;6;10.0;16.0
P00120542;8;14.0;
P00330342;5;11.0;16.0
P00296942;8;;
P00332142;8;14.0;
P00370042;1;8.0;16.0
P00130242;8;;
P00320742;1;4.0;9.0
P00101042;5;12.0;
P00169742;1;8.0;15.0
P00352242;1;6.0;16.0
P00181742;11;16.0;
P00078242;5;;
P00059842;5;;
P00072842;5;8.0;
P00198242;2;4.0;9.0
P00335842;5;;
P00174842;17;;
P00214842;14;;
P00248742;5;;
