,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
83126,42229,Torben Schmidt Grael,M,28.0,185.0,88.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Two Person Keelboat,Bronze
83128,42229,Torben Schmidt Grael,M,35.0,185.0,88.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,Gold
83129,42229,Torben Schmidt Grael,M,40.0,185.0,88.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Two Person Keelboat,Bronze
83130,42229,Torben Schmidt Grael,M,44.0,185.0,88.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's Two Person Keelboat,Gold
83719,42559,Grazielle Pinheiro Guimares Nascimento,F,23.0,162.0,54.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
85929,43570,Evandro Motta Guerra,M,34.0,207.0,106.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
86122,43669,Ronaldo Guiaro,M,22.0,186.0,77.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze
86228,43708,Leandro Marques Guilheiro,M,21.0,176.0,81.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Lightweight,Bronze
86229,43708,Leandro Marques Guilheiro,M,24.0,176.0,81.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Lightweight,Bronze
86980,44116,Gustavo Endres,M,28.0,203.0,98.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
86981,44116,Gustavo Endres,M,32.0,203.0,98.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
93605,47390,Helen Cristina Santos Luz,F,27.0,175.0,61.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
93701,47434,Andr Heller,M,28.0,199.0,93.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
93702,47434,Andr Heller,M,32.0,199.0,93.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
95005,48108,Anderson Hernanes de Carvalho Andrade Lima,M,23.0,180.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
96064,48638,Hilma Aparecida Caldeira,F,24.0,182.0,74.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
98339,49769,Carlos Eduardo Honorato,M,25.0,175.0,90.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Middleweight,Silver
98869,50041,Hortncia Maria de Ftima Marcari Oliva,F,36.0,174.0,60.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
100754,50948,"Givanildo ""Hulk"" Vieira de Souza",M,26.0,180.0,75.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
102025,51607,Ana Ida Margarita  Alvarez Vieira,F,31.0,177.0,60.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
102599,51904,"Ilson Pereira ""Ilsinho"" Dias Jnior",M,22.0,170.0,70.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
105946,53594,Janelson dos Santos Carvalho,M,23.0,195.0,85.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
105956,53600,Janeth dos Santos Arcain,F,27.0,182.0,67.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
105957,53600,Janeth dos Santos Arcain,F,31.0,182.0,67.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
106112,53677,Janina Dia Chagas da Conceio,F,27.0,192.0,82.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
106506,53867,"Jaqueline Maria ""Jaque"" Pereira de Carvalho Endres",F,24.0,186.0,71.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
106507,53867,"Jaqueline Maria ""Jaque"" Pereira de Carvalho Endres",F,28.0,186.0,71.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
106885,54032,Jatyr Eduardo Schall,M,21.0,186.0,85.0,Brazil,BRA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Bronze
106886,54032,Jatyr Eduardo Schall,M,25.0,186.0,85.0,Brazil,BRA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
107004,54085,Carlos Alberto Borges Jayme,M,20.0,190.0,90.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
108640,54942,"Joo ""J"" Alves de Assis Silva",M,21.0,189.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
108798,55025,"Srgio Lus ""Joo Paulo"" Donizetti",M,24.0,170.0,74.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
108953,55088,Andr Bier Johannpeter,M,33.0,178.0,78.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
108955,55088,Andr Bier Johannpeter,M,37.0,178.0,78.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
110576,55913,Jorge Edson Souza de Brito,M,25.0,192.0,90.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
110595,55923,"Jorge Jos ""Jorginho"" de Amorim Campos",M,24.0,174.0,68.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
111006,56163,Juan Guilherme Nunes Jesus,M,21.0,185.0,83.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
111171,56248,Juliana Ribeiro Cabral,F,22.0,169.0,60.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
111172,56249,Juliana Felisberta da Silva,F,29.0,177.0,63.0,Brazil-1,BRA,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
111321,56322,"Oswaldo ""Juninho Paulista"" Giroldo Jnior",M,23.0,167.0,70.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze
113635,57563,Karin Rodrigues,F,28.0,187.0,77.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
114473,57972,Ktia Andreia Caldeira Lopes,F,27.0,172.0,64.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
115577,58558,Kelly Silva dos Santos,F,20.0,193.0,92.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
115650,58595,Kelly Cristina Pereira da Silva,F,19.0,164.0,55.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
115684,58609,Kely Kolasco Fraga,F,25.0,193.0,79.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
117932,59674,"rika Kelly ""Kiki"" Pereira Coimbra",F,20.0,179.0,67.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
120289,60883,"Joo ""Kita"" Leithardt Neto",M,26.0,180.0,73.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
120291,60885,Felipe Eidji Kitadai,M,22.0,164.0,60.0,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Men's Extra-Lightweight,Bronze
122812,62079,"Renata Aparacida ""Kki"" da Costa",F,18.0,171.0,68.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
122813,62079,"Renata Aparacida ""Kki"" da Costa",F,22.0,171.0,68.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
129157,65026,Kahena Kunze,F,25.0,172.0,68.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,Gold
132551,66721,Larissa Frana Maestrini,F,30.0,174.0,68.0,Brazil-1,BRA,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
136151,68490,Leila de Souza Sobral Freitas,F,21.0,187.0,83.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
136154,68491,Leila de Gomes de Barros,F,24.0,179.0,72.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
136155,68491,Leila de Gomes de Barros,F,28.0,179.0,72.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
136263,68536,Jorge Luiz Fernandes Leite,M,18.0,188.0,87.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
139054,69856,Lilian Cristina Lopes Gonalves,F,21.0,186.0,68.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
140131,70353,"Danielle ""Dani"" Rodrigues Lins",F,27.0,183.0,71.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
143324,71937,Luan Guilherme de Jesus Vieira,M,23.0,180.0,71.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
143341,71941,Luan Garcia Teixeira,M,23.0,183.0,79.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
143414,71981,Ricardo Samuel Lucarelli Santos de Souza,M,24.0,195.0,79.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
143417,71984,Lucas Pezzini Leiva,M,21.0,179.0,74.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
143418,71985,Lucas Rodrigues Moura da Silva,M,19.0,173.0,81.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
143750,72160,Luiz Felipe Marques Fonteles,M,32.0,196.0,89.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
143752,72162,"Luiz Carlos ""Luizo"" Bombonato Goulart",M,20.0,178.0,77.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze
145951,73244,Djan Garrido Madruga,M,21.0,181.0,69.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
146271,73404,Maurren Higa Maggi,F,32.0,173.0,61.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Long Jump,Gold
149024,74746,"Marcelo ""Marcelinho"" Elgarten",M,33.0,183.0,78.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
149025,74747,"Marcelo Jos ""Marcelinho Paulista"" de Souza",M,22.0,175.0,72.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze
149035,74757,Marcelo Vieira da Silva Jnior,M,20.0,173.0,72.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
149036,74757,Marcelo Vieira da Silva Jnior,M,24.0,173.0,72.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
149187,74833,"Mrcia Regina ""Mrcia Fu"" Cunha",F,26.0,185.0,80.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
149214,74846,Mrcio Henrique Barroso Arajo,M,34.0,192.0,89.0,Brazil-1,BRA,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
149277,74881,Marcus Vincius Freire Simes,M,21.0,195.0,87.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
149510,74992,"Marianne ""Mari"" Steinbrecher",F,24.0,188.0,70.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
149540,75010,Arthur Nory Oyakawa Mariano,M,22.0,169.0,65.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
150156,75309,Wlamir Marques,M,23.0,185.0,80.0,Brazil,BRA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Bronze
150157,75309,Wlamir Marques,M,27.0,185.0,80.0,Brazil,BRA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
150193,75337,"Marcos ""Marquinhos"" Aos Corra",M,22.0,185.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
150395,75451,Marta Vieira da Silva,F,18.0,162.0,58.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
150396,75451,Marta Vieira da Silva,F,22.0,162.0,58.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
152850,76709,Marcus Laborne Mattioli,M,19.0,181.0,75.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
153105,76846,Maurcio Camargo Lima,M,24.0,184.0,81.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
153108,76846,Maurcio Camargo Lima,M,36.0,184.0,81.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
153111,76849,Maurine Dorneles Gonalves,F,22.0,159.0,51.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
153356,76966,"Andria ""Maycon"" dos Santos",F,27.0,155.0,56.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
153357,76966,"Andria ""Maycon"" dos Santos",F,31.0,155.0,56.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
156675,78703,Sarah Gabrielle Cabral de Menezes,F,22.0,154.0,48.0,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Women's Extra-Lightweight,Gold
158470,79547,Aurlio Fernndez Miguel,M,32.0,180.0,95.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Heavyweight,Bronze
159501,80046,Mlton de Souza Filho,M,26.0,178.0,73.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
160014,80295,Victor Mirshauswka,M,23.0,189.0,83.0,Brazil,BRA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
162044,81351,Mnica Anglica de Paula,F,26.0,178.0,76.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
162209,81449,Jos Montanaro Jnior,M,26.0,187.0,81.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
163165,81914,Jos Carlos Gomes Moreira,M,24.0,172.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
164151,82395,Ana Beatriz Moser,F,27.0,185.0,70.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
164288,82467,"Carlos ""Mosquito"" Domingos Massoni",M,21.0,178.0,80.0,Brazil,BRA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Bronze
164289,82467,"Carlos ""Mosquito"" Domingos Massoni",M,25.0,178.0,80.0,Brazil,BRA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
166248,83492,Murilo Endres,M,27.0,190.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
166249,83492,Murilo Endres,M,31.0,190.0,76.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Silver
168022,84417,Nalbert Tavares Bitencourt,M,30.0,196.0,91.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
168224,84526,Narciso dos Santos,M,22.0,184.0,80.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze
168329,84582,Andr Luiz da Silva Nascimento,M,25.0,195.0,95.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
168330,84582,Andr Luiz da Silva Nascimento,M,29.0,195.0,95.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
168477,84677,Natlia Zlio Pereira,F,23.0,184.0,76.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
169242,85079,Marcelo Teles Negro,M,19.0,198.0,94.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
169906,85397,Jos Ferreira Neto,M,22.0,173.0,73.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
169907,85398,Norberto Murara Neto,M,23.0,191.0,83.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
170192,85524,Leandro Vissotto Neves,M,29.0,212.0,97.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Silver
170195,85526,Thiago Neves Augusto,M,23.0,182.0,70.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
170377,85613,Neymar da Silva Santos Jnior,M,20.0,174.0,64.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
170378,85613,Neymar da Silva Santos Jnior,M,24.0,174.0,64.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
177374,89172,Luiz Yoshio Onmura,M,24.0,168.0,71.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Lightweight,Bronze
178464,89709,Oscar dos Santos Emboaba Jnior,M,20.0,179.0,68.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
179905,90420,Nilton Pacheco de Oliveira,M,28.0,180.0,78.0,Brazil,BRA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Bronze
180914,90924,"Andr Felipe ""Pampa"" Falbo Ferreira",M,27.0,194.0,90.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
183392,92176,Maria Paula Gonalves da Silva,F,34.0,174.0,60.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
183393,92177,Paula Renata Marques Pequeno,F,26.0,184.0,74.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
183394,92177,Paula Renata Marques Pequeno,F,30.0,184.0,74.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
183400,92181,"Paulo Andr ""Paulo"" Jukoski da Silva",M,28.0,201.0,94.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
184791,92872,"Henrique ""Kiko"" Pellicano",M,22.0,187.0,70.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Multihull,Bronze
185075,93022,Eduardo Henrique Gomes Penido,M,20.0,177.0,64.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Dinghy,Gold
185418,93218,Thiago Machado Vilela Pereira,M,26.0,187.0,83.0,Brazil,BRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 400 metres Individual Medley,Silver
186453,93746,Rodrigo de Paula Pessoa,M,23.0,177.0,67.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
186455,93746,Rodrigo de Paula Pessoa,M,27.0,177.0,67.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
